stationCode	stationName	lat	lng
S04105	CAMPO LIGURE-MASONE	44.530909	8.700878
S09459	CAMPOBASSO	41.558137	14.66393
S12112	CAMPOBELLO DI MAZARA	37.636256	12.733165
S12385	CAMPOBELLO RAVANUSA	37.265731	13.946251
S02527	CAMPODARSEGO	45.505721	11.900894
S12017	CAMPOFELICE	37.992615	13.876549
S12211	CAMPOFRANCO	37.510105	13.686777
S09505	CAMPOLATTARO	41.285869	14.726853
S08602	CAMPOLEONE	41.642396	12.648341
S09462	CAMPOLIETO MONACILIONI	41.642573	14.76544
S02840	CAMPOLONGO MAGGIORE	45.31862	12.05364
S11454	CAMPOMAGGIORE	40.550772	16.086766
S11020	CAMPOMARINO	41.957398	15.042416
S12815	CAMPOMELA	40.68139	8.638875
S06659	CAMPOMIGLIAIO	43.937241	11.303593
S11745	CAMPORA S.GIOVANNI SERRA AIELLO	39.068402	16.09102
S00889	CAMPORE	45.403067	7.622602
S06324	CAMPORGIANO	44.161448	10.334849
S02525	CAMPOSAMPIERO	45.568922	11.928293
S05314	CAMPOSANTO	44.787527	11.143587
S06921	CAMUCIA CORTONA	43.261104	11.971245
S05709	CANARO	44.923012	11.675223
S08735	CANCELLIERA	41.710587	12.621758
S09213	CANCELLO	40.993063	14.418877
S09002	CANCELLO ARNONE	41.063369	14.02901
S11204	CANDELA-S.AGATA DI PUGLIA	41.151439	15.533163
S00071	CANDELO	45.547433	8.100103
S00157	CANDIA CANAVESE	45.329824	7.891819
S00333	CANDIA LOMELLINA	45.179911	8.593156
S11105	CANDIDA	41.346664	15.996588
S00512	CANDIOLO	44.961155	7.598973
S01011	CANDOGLIA ORNAVASSO	45.977489	8.419715
S01034	CANEGRATE	45.569235	8.926593
S00832	CANELLI	44.716716	8.294544
S07429	CANETRA	42.391578	13.029159
S12375	CANICATTI'	37.359879	13.855395
S12812	CANIGA	40.716116	8.526395
S08812	CANISTRO	41.941031	13.412163
S07009	CANNARA	43.019591	12.628709
S11406	CANNE DELLA BATTAGLIA	41.294583	16.146169
S01848	CANNETO SULL'OGLIO	45.150211	10.37147
S12330	CANNIZZARO	37.54711	15.129698
S13195	CANNOLE	0.0	4.511256
S11402	CANOSA DI PUGLIA	41.218556	16.053906
S07943	CANOSCIO	43.361153	12.233296
S08902	CANSANO	41.983172	13.996947
S08907	CANSANO SCAVI DI OCRITICUM	41.981004	13.984711
S00841	CANTALUPO	44.864787	8.551357
S09451	CANTALUPO DEL SANNIO	41.5174	14.6671
S01206	CANTELLO GAGGIOLO	45.846524	8.903408
S01451	CANTU'	45.752316	9.130321
S01313	CANTU'-CERMENATE	45.716236	9.099284
S01099	CANZO	45.849053	9.270187
S01970	CAORSO	45.042048	9.868157
S11702	CAPACCIO ROCCADASPIDE	40.454518	15.013551
S12128	CAPACI	38.171811	13.232432
S12145	CAPACI	38.171794	13.232398
S08006	CAPALBIO	42.407974	11.370982
S08672	CAPANNELLE	41.830713	12.568884
S13108	CAPECE	0.0	4.511256
S08850	CAPISTRELLO	41.97051	13.399276
